-------------
L18S801
            99.5dB           700W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 28.1Hz  58Hz  121Hz  113.0dB  166l +  37l  * 1x100mm  1889mm
 30.8Hz  62Hz  124Hz  114.6dB  136l +  37l  * 1x100mm  1683mm
 33.8Hz  66Hz  127Hz  116.2dB  113l +  37l  * 1x100mm  1500mm
 37.0Hz  69Hz  130Hz  117.8dB   95l +  37l  * 1x100mm  1337mm
 40.4Hz  74Hz  134Hz  119.4dB   81l +  37l  * 1x100mm  1192mm
 44.1Hz  78Hz  138Hz  120.9dB   69l +  37l  * 1x100mm  1062mm
 48.1Hz  83Hz  141Hz  122.4dB   59l +  37l  * 1x100mm   947mm
 52.4Hz  87Hz  146Hz  123.9dB   51l +  37l  * 1x100mm   844mm
 57.0Hz  93Hz  150Hz  125.3dB   44l +  37l  * 1x100mm   752mm
 61.9Hz  98Hz  155Hz  126.8dB   39l +  37l  * 1x100mm   670mm
 67.2Hz 104Hz  161Hz  128.2dB   34l +  37l  * 1x100mm   597mm
 72.8Hz 110Hz  166Hz  129.6dB   30l +  37l  * 1x100mm   532mm
 78.8Hz 114Hz  172Hz  131.0dB   27l +  37l  * 1x100mm   499mm
 28.1Hz  68Hz  121Hz  113.0dB  100l +  27l  * 1x100mm  1889mm
 30.8Hz  72Hz  124Hz  114.6dB   85l +  27l  * 1x100mm  1683mm
 33.8Hz  76Hz  127Hz  116.2dB   72l +  27l  * 1x100mm  1500mm
 37.0Hz  81Hz  130Hz  117.8dB   62l +  27l  * 1x100mm  1337mm
 40.4Hz  86Hz  134Hz  119.4dB   54l +  27l  * 1x100mm  1192mm
 44.1Hz  91Hz  138Hz  120.9dB   47l +  27l  * 1x100mm  1062mm
 48.1Hz  96Hz  141Hz  122.4dB   40l +  27l  * 1x100mm   947mm
 52.4Hz 102Hz  146Hz  123.9dB   35l +  27l  * 1x100mm   844mm
 57.0Hz 108Hz  150Hz  125.3dB   31l +  27l  * 1x100mm   752mm
 61.9Hz 114Hz  155Hz  126.8dB   27l +  27l  * 1x100mm   670mm
 67.2Hz 121Hz  161Hz  128.2dB   24l +  27l  * 1x100mm   597mm
 72.8Hz 110Hz  166Hz  129.6dB   30l +  27l  * 1x100mm   725mm
 78.8Hz 114Hz  172Hz  131.0dB   27l +  27l  * 1x100mm   679mm
 79.2Hz 131Hz  186Hz  131.0dB   20l +  27l  * 1x100mm   513mm
 33.7Hz  82Hz  198Hz  116.2dB   61l +  19l  * 1x100mm  1889mm
 37.2Hz  87Hz  202Hz  117.9dB   52l +  19l  * 1x100mm  1684mm
 40.9Hz  92Hz  206Hz  119.6dB   45l +  19l  * 1x100mm  1501mm
 45.0Hz  97Hz  210Hz  121.2dB   40l +  19l  * 1x100mm  1337mm
 49.5Hz 103Hz  214Hz  122.9dB   35l +  19l  * 1x100mm  1192mm
 54.3Hz 109Hz  219Hz  124.5dB   30l +  19l  * 1x100mm  1062mm
 59.5Hz 116Hz  224Hz  126.1dB   27l +  19l  * 1x100mm   947mm
 65.1Hz 122Hz  230Hz  127.6dB   23l +  19l  * 1x100mm   844mm
 71.2Hz 130Hz  236Hz  129.2dB   21l +  19l  * 1x100mm   752mm
 77.7Hz 137Hz  242Hz  130.7dB   18l +  19l  * 1x100mm   670mm
 84.8Hz 145Hz  249Hz  132.2dB   16l +  19l  * 1x100mm   597mm
-------------
LF18G400
            97.5dB          1000W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.8Hz  45Hz   94Hz  107.5dB  222l +  55l  * 1x100mm  2097mm
 23.9Hz  48Hz   96Hz  109.1dB  185l +  55l  * 1x100mm  1869mm
 26.2Hz  51Hz   99Hz  110.7dB  156l +  55l  * 1x100mm  1666mm
 28.7Hz  54Hz  101Hz  112.2dB  133l +  55l  * 1x100mm  1485mm
 31.4Hz  57Hz  104Hz  113.8dB  114l +  55l  * 1x100mm  1323mm
 34.3Hz  60Hz  107Hz  115.3dB   98l +  55l  * 1x100mm  1179mm
 37.4Hz  64Hz  110Hz  116.8dB   85l +  55l  * 1x100mm  1051mm
 40.7Hz  68Hz  113Hz  118.3dB   74l +  55l  * 1x100mm   937mm
 44.2Hz  72Hz  117Hz  119.8dB   64l +  55l  * 1x100mm   835mm
 48.1Hz  76Hz  121Hz  121.2dB   56l +  55l  * 1x100mm   744mm
 52.2Hz  81Hz  125Hz  122.6dB   49l +  55l  * 1x100mm   663mm
 56.5Hz  85Hz  129Hz  124.0dB   43l +  55l  * 1x100mm   591mm
 61.2Hz  88Hz  134Hz  125.4dB   40l +  55l  * 1x100mm   554mm
 66.2Hz  96Hz  139Hz  126.8dB   34l +  55l  * 1x100mm   469mm
 71.6Hz 102Hz  144Hz  128.1dB   30l +  55l  * 1x100mm   418mm
 77.2Hz 108Hz  150Hz  129.4dB   26l +  55l  - 2x100mm   741mm
 83.3Hz 114Hz  156Hz  130.7dB   23l +  55l  - 2x100mm   661mm
 21.8Hz  53Hz   94Hz  107.5dB  140l +  40l  * 1x100mm  2097mm
 23.9Hz  56Hz   96Hz  109.1dB  120l +  40l  * 1x100mm  1869mm
 26.2Hz  59Hz   99Hz  110.7dB  103l +  40l  * 1x100mm  1665mm
 28.7Hz  63Hz  101Hz  112.2dB   89l +  40l  * 1x100mm  1485mm
 31.4Hz  67Hz  104Hz  113.8dB   77l +  40l  * 1x100mm  1323mm
 34.3Hz  71Hz  107Hz  115.3dB   67l +  40l  * 1x100mm  1179mm
 37.4Hz  75Hz  110Hz  116.8dB   59l +  40l  * 1x100mm  1051mm
 40.7Hz  79Hz  113Hz  118.3dB   51l +  40l  * 1x100mm   937mm
 44.2Hz  84Hz  117Hz  119.8dB   45l +  40l  * 1x100mm   835mm
 48.1Hz  89Hz  121Hz  121.2dB   40l +  40l  * 1x100mm   744mm
 52.2Hz  94Hz  125Hz  122.6dB   35l +  40l  * 1x100mm   663mm
 56.5Hz  85Hz  129Hz  124.0dB   43l +  40l  * 1x100mm   804mm
 61.2Hz  88Hz  134Hz  125.4dB   40l +  40l  * 1x100mm   753mm
 66.2Hz  96Hz  139Hz  126.8dB   34l +  40l  * 1x100mm   639mm
 61.5Hz 102Hz  144Hz  125.5dB   30l +  40l  * 1x100mm   569mm
 67.2Hz 108Hz  150Hz  127.0dB   26l +  40l  * 1x100mm   508mm
 83.3Hz 114Hz  156Hz  130.7dB   23l +  40l  * 1x100mm   452mm
