                       fs   mms    cms    cms1   cms2   cms     mms2
L18S801               39.0  148.0  0.000  0.118  0.113  0.115  140.8 
LF18G400              28.0  190.0  0.000  0.177  0.170  0.174  182.2 
LF18G401              33.0  182.0  0.000  0.132  0.128  0.130  176.2 
LF18P300              33.0  180.0  0.000  0.130  0.129  0.129  179.3 
LF18X401              30.0  215.0  0.000  0.135  0.131  0.133  208.5 
LF18X451              30.0  260.0  0.000  0.108  0.108  0.108  259.7 
LF21N451              30.0  315.0  0.000  0.092  0.089  0.091  306.4 
LF21X451              28.0  355.0  0.000  0.094  0.091  0.093  342.6 
LF21N551              35.0  434.0  0.000  0.049  0.048  0.048  422.1 
L8S800                60.0   21.0  0.340  0.355  0.335  0.345   19.8 
LF15G401              36.0  150.0  0.000  0.133  0.130  0.132  147.2 
