                      fs     mms     qms        rms      rms/sd
L18S801               39.0  148.0    8.000      4.533    0.00401
LF18G400              28.0  190.0    4.000      8.357    0.00685
LF18G401              33.0  182.0    7.000      5.391    0.00442
LF18P300              33.0  180.0    8.000      4.665    0.00413
LF18X401              30.0  215.0    7.000      5.790    0.00475
LF18X451              30.0  260.0    6.000      8.168    0.00670
LF21N451              30.0  315.0    6.000      9.896    0.00572
LF21X451              28.0  355.0    6.000     10.409    0.00602
LF21N551              35.0  434.0    6.000     15.907    0.00919
L8S800                60.0   21.0    4.000      1.979    0.00929
LF15G401              36.0  150.0    6.000      5.655    0.00621
