                       fs   mms    cms    cms1   cms2   cms     mms2
RE8                   22.8   93.3  0.522  0.522  0.522  0.522   93.3 
RE10                  21.5  102.5  0.535  0.535  0.535  0.535  102.5 
RE12                  20.0  118.7  0.534  0.534  0.533  0.534  118.7 
SR10                  25.3  167.3  0.236  0.236  0.237  0.237  167.3 
SR12                  23.6  168.2  0.270  0.270  0.270  0.270  168.2 
SR15                  23.0  211.1  0.227  0.227  0.227  0.227  211.1 
SE10                  26.6  151.4  0.236  0.236  0.236  0.236  151.4 
SE12                  25.1  173.3  0.232  0.232  0.232  0.232  173.3 
SE15                  22.0  224.1  0.234  0.234  0.234  0.234  224.1 
SX10                  30.7  161.6  0.166  0.166  0.166  0.166  161.6 
SX12                  30.6  178.6  0.151  0.151  0.151  0.151  178.6 
SX15                  27.8  232.2  0.141  0.141  0.141  0.141  232.2 
SX18                  33.2  288.7  0.080  0.080  0.080  0.080  288.7 
MX12                  23.2  250.7  0.188  0.188  0.188  0.188  250.7 
MX15                  20.8  315.1  0.186  0.186  0.186  0.186  315.1 
MX18                  16.7  471.1  0.192  0.192  0.192  0.192  471.1 
XXX12                 21.0  243.9  0.235  0.235  0.235  0.235  243.9 
XXX15                 19.1  300.2  0.231  0.231  0.231  0.231  300.2 
XXX18                 15.6  431.3  0.241  0.241  0.241  0.241  431.3 
