                       fs    mms    cms    sag    pct
RE8                   22.0   93.3  0.522  0.478  4.0% OK
RE10                  21.0  102.5  0.535  0.538  4.5% OK
RE12                  20.0  118.7  0.534  0.622  5.2% Not OK
SR10                  25.0  167.3  0.236  0.387  2.2% OK
SR12                  23.0  168.2  0.270  0.446  2.5% OK
SR15                  23.0  211.1  0.227  0.470  2.6% OK
SE10                  26.0  151.4  0.236  0.351  1.9% OK
SE12                  25.0  173.3  0.232  0.394  2.2% OK
SE15                  22.0  224.1  0.234  0.514  2.9% OK
SX10                  30.0  161.6  0.166  0.263  1.2% OK
SX12                  30.0  178.6  0.151  0.265  1.2% OK
SX15                  27.0  232.2  0.141  0.321  1.5% OK
SX18                  33.0  288.7  0.080  0.227  1.0% OK
MX12                  23.0  250.7  0.188  0.462  2.1% OK
MX15                  20.0  315.1  0.186  0.575  2.6% OK
MX18                  16.0  471.1  0.192  0.887  4.0% OK
XXX12                 21.0  243.9  0.235  0.562  1.0% OK
XXX15                 19.0  300.2  0.231  0.680  1.3% OK
XXX18                 15.0  431.3  0.241  1.020  1.9% OK
