                       fs   mms    cms    cms1   cms2   cms     mms2
SB12NRXF25-4          61.0    5.8  1.17   1.20   1.17   1.19     5.7 
SB15NRXC30-8          38.0    8.1  2.17   2.26   2.17   2.21     7.8 
SB17NRXC35-8          32.0   11.0  2.25   2.34   2.25   2.30    10.6 
SB17NRXC35-4          35.0   11.6  1.78   1.85   1.78   1.82    11.2 
SB23NRXS45-8          32.5   24.5  0.980  1.00   0.979  0.992   23.9 
SB29NRX75             21.0   78.0  0.740  0.768  0.736  0.752   74.8 
SB34NRX75-6           19.0   99.0  0.710  0.739  0.709  0.724   95.0 
mw13p-8               41.5    6.8  2.16   2.24   2.16   2.20     6.6 
mw16p-8               29.0   12.4  2.40   2.48   2.43   2.46    12.1 
SB42FHCL75-6          18.4  166.0  0.450  0.469  0.451  0.460  159.6 
SB23MFCL45-8          28.5   53.0  0.590  0.615  0.588  0.602   50.7 
SB23MFCL45-4          27.0   59.0  0.590  0.615  0.589  0.602   56.5 
