                       fs    mms    cms    sag    pct
SB12NRXF25-4          61.0    5.8  1.17   0.067  1.3% OK
SB15NRXC30-8          38.0    8.1  2.17   0.172  3.4% OK
SB17NRXC35-8          32.0   11.0  2.25   0.243  4.4% OK
SB17NRXC35-4          35.0   11.6  1.78   0.203  3.7% OK
SB23NRXS45-8          32.0   24.5  0.980  0.236  3.6% OK
SB29NRX75             21.0   78.0  0.740  0.566  5.1% Not OK
SB34NRX75-6           19.0   99.0  0.710  0.690  6.3% Not OK
mw13p-8               41.0    6.8  2.16   0.144  2.9% OK
mw16p-8               29.0   12.4  2.40   0.292  4.9% OK
SB42FHCL75-6          18.0  166.0  0.450  0.733  6.4% Not OK
SB23MFCL45-8          28.0   53.0  0.590  0.307  2.9% OK
SB23MFCL45-4          27.0   59.0  0.590  0.341  2.8% OK
