-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 31.5Hz  65Hz  136Hz   88.9dB   10l +   3l  + 1x40mm   3221mm
 34.5Hz  69Hz  139Hz   90.5dB    8l +   3l  + 1x40mm   2871mm
 37.9Hz  73Hz  143Hz   92.1dB    7l +   3l  + 1x40mm   2558mm
 41.4Hz  78Hz  146Hz   93.7dB    6l +   3l  + 1x40mm   2281mm
 45.3Hz  82Hz  150Hz   95.2dB    5l +   3l  + 1x40mm   2032mm
 49.4Hz  87Hz  154Hz   96.7dB    5l +   3l  + 1x40mm   1811mm
 53.9Hz  92Hz  159Hz   98.2dB    4l +   3l  + 1x40mm   1614mm
 58.7Hz  98Hz  163Hz   99.7dB    4l +   3l  + 1x40mm   1439mm
 63.9Hz 104Hz  169Hz  101.2dB    3l +   3l  + 1x40mm   1282mm
 69.4Hz 110Hz  174Hz  102.6dB    3l +   3l  + 1x40mm   1143mm
 75.3Hz 116Hz  180Hz  104.1dB    2l +   3l  + 1x40mm   1019mm
 81.6Hz 123Hz  186Hz  105.5dB    2l +   3l  + 1x40mm    908mm
 31.5Hz  76Hz  136Hz   88.9dB    6l +   2l  + 1x40mm   3221mm
 34.5Hz  81Hz  139Hz   90.5dB    6l +   2l  + 1x40mm   2870mm
 37.9Hz  86Hz  143Hz   92.1dB    5l +   2l  + 1x40mm   2558mm
 41.4Hz  91Hz  146Hz   93.7dB    4l +   2l  + 1x40mm   2280mm
 45.3Hz  96Hz  150Hz   95.2dB    4l +   2l  + 1x40mm   2033mm
 49.4Hz 102Hz  154Hz   96.7dB    3l +   2l  + 1x40mm   1811mm
 53.9Hz 108Hz  159Hz   98.2dB    3l +   2l  + 1x40mm   1614mm
 58.7Hz 114Hz  163Hz   99.7dB    2l +   2l  + 1x40mm   1439mm
 63.9Hz 121Hz  169Hz  101.2dB    2l +   2l  + 1x40mm   1282mm
 69.4Hz 128Hz  174Hz  102.6dB    2l +   2l  + 1x40mm   1143mm
 75.3Hz 136Hz  180Hz  104.1dB    2l +   2l  + 1x40mm   1019mm
 81.6Hz 123Hz  186Hz  105.5dB    2l +   2l  + 1x40mm   1236mm
 37.8Hz  92Hz  222Hz   92.1dB    4l +   1l  + 1x40mm   3221mm
 41.6Hz  97Hz  226Hz   93.8dB    4l +   1l  + 1x40mm   2871mm
 45.9Hz 103Hz  230Hz   95.4dB    3l +   1l  + 1x40mm   2559mm
 50.5Hz 109Hz  235Hz   97.1dB    3l +   1l  + 1x40mm   2280mm
 55.4Hz 115Hz  240Hz   98.7dB    2l +   1l  + 1x40mm   2032mm
 60.8Hz 122Hz  245Hz  100.3dB    2l +   1l  + 1x40mm   1811mm
 66.7Hz 129Hz  251Hz  101.9dB    2l +   1l  + 1x40mm   1614mm
 73.0Hz 137Hz  258Hz  103.5dB    2l +   1l  + 1x40mm   1439mm
 79.8Hz 145Hz  264Hz  105.1dB    1l +   1l  + 1x40mm   1282mm
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 31.5Hz  65Hz  136Hz   88.9dB   10l +   3l  + 1x40mm   3221mm
 34.5Hz  69Hz  139Hz   90.5dB    8l +   3l  + 1x40mm   2871mm
