                       fs   mms    cms    cms1   cms2   cms     mms2
10F8424G00            90.0    2.8  1.13   1.19   1.13   1.16     2.6 
10F8424G00            90.0    2.8  1.13   1.19   1.13   1.16     2.6 
15M4831G00            35.0   11.0  0.000  1.95   1.88   1.91    10.6 
15M4831G00            35.0   11.0  0.000  1.95   1.88   1.91    10.6 
15S8531K01            32.0   12.5  0.000  2.06   1.98   2.02    12.0 
15W4531G00            39.0   13.0  0.000  1.30   1.28   1.29    12.8 
15W8530K00            30.0   13.0  0.000  2.27   2.16   2.22    12.4 
15W8530K01            30.0   13.0  0.000  2.27   2.16   2.22    12.4 
18S8535-00            26.0   16.0  0.000  2.69   2.34   2.52    13.9 
18W8434G00            49.9   13.7  0.740  0.769  0.743  0.756   13.2 
18W8434G00            49.9   13.7  0.740  0.769  0.743  0.756   13.2 
18W8531G              28.0   17.0  0.000  1.92   1.90   1.91    16.8 
18W8545-00            28.0   20.0  0.000  1.67   1.62   1.64    19.3 
18W8545K00            28.0   20.5  0.000  1.67   1.58   1.62    19.3 
22W4534G00            25.0   25.8  1.57   1.63   1.57   1.60    24.9 
22W8534G00            30.0   23.1  1.22   1.25   1.22   1.23    22.5 
23W4557T00            20.0  100.0  0.000  0.637  0.633  0.635   99.3 
23W4557T02            20.0  100.0  0.000  0.637  0.633  0.635   99.3 
26W4534G00            23.0   52.0  0.920  0.934  0.921  0.927   51.3 
26W4558T00            21.0  105.0  0.550  0.561  0.547  0.554  102.3 
26W8534G00            23.0   50.5  0.950  0.898  0.948  0.923   53.3 
30W4558T00            17.0  135.0  0.650  0.665  0.649  0.657  131.8 
