                       fs    mms    cms    sag    pct
10F8424G00            90.0    2.8  1.13   0.031  1.2% OK
10F8424G00            90.0    2.8  1.13   0.031  1.2% OK
15M4831G00            35.0   11.0  0.002  0.000  0.0% OK
15M4831G00            35.0   11.0  0.002  0.000  0.0% OK
15S8531K01            32.0   12.5  0.002  0.000  0.0% OK
15W4531G00            39.0   13.0  0.001  0.000  0.0% OK
15W8530K00            30.0   13.0  0.002  0.000  0.0% OK
15W8530K01            30.0   13.0  0.002  0.000  0.0% OK
15W8434G00            45.0    8.6  1.43   0.121  2.9% OK
18S8535-00            26.0   16.0  0.002  0.000  0.0% OK
18W8434G00            49.0   13.7  0.740  0.099  2.4% OK
18W8531G              28.0   17.0  0.002  0.000  0.0% OK
18W8545-00            28.0   20.0  0.002  0.000  0.0% OK
18W8545K00            28.0   20.5  0.002  0.000  0.0% OK
22W4534G00            25.0   25.8  1.57   0.397  6.9% Not OK
22W8534G00            30.0   23.1  1.22   0.276  4.8% OK
23W4557T00            20.0  100.0  0.001  0.001  0.0% OK
23W4557T02            20.0  100.0  0.001  0.001  0.0% OK
26W4534G00            23.0   52.0  0.920  0.469  7.8% Not OK
26W4558T00            21.0  105.0  0.550  0.567  4.5% OK
26W8534G00            23.0   50.5  0.950  0.471  7.8% Not OK
30W4558T00            17.0  135.0  0.650  0.861  6.9% Not OK
