                      fs     mms     qms        rms      rms/sd
15M4831G00            35.0   11.0    4.000      0.605    0.00637
15M4831G00            35.0   11.0    4.000      0.605    0.00637
15W4531G00            39.0   13.0    4.000      0.796    0.00838
15W8530K00            30.0   13.0    4.000      0.613    0.00645
15W8530K01            30.0   13.0    4.000      0.613    0.00645
18S8535-00            26.0   16.0    2.000      1.307    0.00934
18W8531G              28.0   17.0    5.000      0.598    0.00399
18W8545-00            28.0   20.0    2.000      1.759    0.01213
23W4557T00            20.0  100.0    4.000      3.142    0.01366
23W4557T02            20.0  100.0    4.000      3.142    0.01366
26W4558T00            21.0  105.0    5.000      2.771    0.00787
26W4534G00            23.0   52.0    9.000      0.835    0.00239
30W4558T00            17.0  135.0    5.000      2.884    0.00619
