-------------
CA12RCY(H1152-08)
            86.0dB            60W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 39.0Hz  81Hz  169Hz   85.4dB    5l +   1l    1x40mm   5829mm
 42.8Hz  86Hz  172Hz   87.0dB    4l +   1l    1x40mm   5195mm
 46.9Hz  91Hz  176Hz   88.6dB    3l +   1l    1x40mm   4630mm
 51.3Hz  96Hz  181Hz   90.1dB    3l +   1l    1x40mm   4127mm
 56.1Hz 102Hz  186Hz   91.7dB    2l +   1l    1x40mm   3678mm
 61.2Hz 108Hz  191Hz   93.2dB    2l +   1l    1x40mm   3278mm
 66.7Hz 114Hz  196Hz   94.7dB    2l +   1l    1x40mm   2922mm
 72.7Hz 121Hz  202Hz   96.2dB    1l +   1l    1x40mm   2604mm
 79.1Hz 128Hz  209Hz   97.7dB    1l +   1l    1x40mm   2321mm
 85.9Hz 136Hz  215Hz   99.1dB    1l +   1l    1x40mm   2068mm
 93.2Hz 144Hz  223Hz  100.5dB    1l +   1l    1x40mm   1844mm
101.0Hz 153Hz  231Hz  101.9dB    1l +   1l    1x40mm   1643mm
109.4Hz 158Hz  239Hz  103.3dB    1l +   1l    1x40mm   1539mm
118.3Hz 171Hz  248Hz  104.7dB    1l +   1l    1x40mm   1305mm
127.9Hz 181Hz  257Hz  106.0dB    1l +   1l    1x40mm   1163mm
138.0Hz 192Hz  268Hz  107.3dB    0l +   1l    1x40mm   1037mm
148.8Hz 204Hz  278Hz  108.6dB    0l +   1l    1x40mm    924mm
 39.0Hz  95Hz  169Hz   85.4dB    3l +   1l    1x40mm   5829mm
 42.8Hz 100Hz  172Hz   87.0dB    2l +   1l    1x40mm   5194mm
 46.9Hz 106Hz  176Hz   88.6dB    2l +   1l    1x40mm   4630mm
 51.3Hz 112Hz  181Hz   90.1dB    2l +   1l    1x40mm   4127mm
 56.1Hz 119Hz  186Hz   91.7dB    1l +   1l    1x40mm   3678mm
 61.2Hz 126Hz  191Hz   93.2dB    1l +   1l    1x40mm   3278mm
 66.7Hz 134Hz  196Hz   94.7dB    1l +   1l    1x40mm   2922mm
 72.7Hz 141Hz  202Hz   96.2dB    1l +   1l    1x40mm   2604mm
 79.1Hz 150Hz  209Hz   97.7dB    1l +   1l    1x40mm   2321mm
 85.9Hz 159Hz  215Hz   99.1dB    1l +   1l    1x40mm   2068mm
 93.2Hz 168Hz  223Hz  100.5dB    1l +   1l    1x40mm   1843mm
101.0Hz 153Hz  231Hz  101.9dB    1l +   1l    1x40mm   2236mm
109.4Hz 158Hz  239Hz  103.3dB    1l +   1l    1x40mm   2094mm
118.3Hz 171Hz  248Hz  104.7dB    1l +   1l    1x40mm   1776mm
109.9Hz 181Hz  257Hz  103.4dB    1l +   1l    1x40mm   1583mm
120.0Hz 192Hz  268Hz  104.9dB    0l +   1l    1x40mm   1411mm
148.8Hz 204Hz  278Hz  108.6dB    0l +   1l    1x40mm   1257mm
 46.7Hz 113Hz  275Hz   88.5dB    2l +   1l    1x40mm   5828mm
 51.5Hz 120Hz  280Hz   90.2dB    1l +   1l    1x40mm   5196mm
 56.8Hz 127Hz  285Hz   91.9dB    1l +   1l    1x40mm   4631mm
 62.5Hz 135Hz  291Hz   93.6dB    1l +   1l    1x40mm   4127mm
 68.6Hz 143Hz  297Hz   95.2dB    1l +   1l    1x40mm   3678mm
 75.3Hz 151Hz  304Hz   96.8dB    1l +   1l    1x40mm   3278mm
 82.5Hz 160Hz  311Hz   98.4dB    1l +   1l    1x40mm   2921mm
 90.4Hz 170Hz  319Hz  100.0dB    1l +   1l    1x40mm   2604mm
 98.8Hz 180Hz  327Hz  101.5dB    1l +   1l    1x40mm   2321mm
107.8Hz 190Hz  336Hz  103.0dB    0l +   1l    1x40mm   2068mm
117.6Hz 202Hz  346Hz  104.5dB    0l +   1l    1x40mm   1843mm
128.1Hz 214Hz  357Hz  106.0dB    0l +   1l    1x40mm   1643mm
139.3Hz 226Hz  368Hz  107.5dB    0l +   1l    1x40mm   1464mm
151.3Hz 240Hz  380Hz  108.9dB    0l +   1l    1x40mm   1305mm
164.2Hz 254Hz  393Hz  110.4dB    0l +   1l    1x40mm   1163mm
178.0Hz 269Hz  407Hz  111.8dB    0l +   1l    1x40mm   1037mm
192.7Hz 285Hz  421Hz  113.1dB    0l +   1l    1x40mm    924mm
-------------
CA15RLY (H1216-08)
            87.5dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 27.0Hz  56Hz  117Hz   86.7dB   22l +   3l  + 1x40mm   3494mm
 29.6Hz  59Hz  119Hz   88.3dB   17l +   3l  + 1x40mm   3114mm
 32.5Hz  63Hz  122Hz   89.9dB   13l +   3l  + 1x40mm   2775mm
 35.5Hz  67Hz  125Hz   91.4dB   11l +   3l  + 1x40mm   2474mm
 38.8Hz  71Hz  129Hz   93.0dB    9l +   3l  + 1x40mm   2204mm
 42.4Hz  75Hz  132Hz   94.5dB    7l +   3l  + 1x40mm   1965mm
 46.2Hz  79Hz  136Hz   96.0dB    6l +   3l  + 1x40mm   1751mm
 50.4Hz  84Hz  140Hz   97.5dB    5l +   3l  + 1x40mm   1561mm
 54.8Hz  89Hz  145Hz   99.0dB    5l +   3l  + 1x40mm   1391mm
 59.5Hz  94Hz  149Hz  100.4dB    4l +   3l  + 1x40mm   1240mm
 64.6Hz 100Hz  154Hz  101.8dB    3l +   3l  + 1x40mm   1105mm
 70.0Hz 106Hz  160Hz  103.2dB    3l +   3l  + 1x40mm    985mm
 75.8Hz 109Hz  166Hz  104.6dB    3l +   3l  + 1x40mm    922mm
 82.0Hz 119Hz  172Hz  106.0dB    2l +   3l  - 1x40mm    782mm
 88.6Hz 126Hz  178Hz  107.3dB    2l +   3l  - 1x40mm    697mm
 95.6Hz 133Hz  185Hz  108.6dB    2l +   3l  - 1x40mm    621mm
103.1Hz 141Hz  193Hz  110.0dB    2l +   3l  - 1x40mm    554mm
 27.0Hz  65Hz  117Hz   86.7dB   12l +   3l  + 1x40mm   3494mm
 29.6Hz  69Hz  119Hz   88.3dB    9l +   3l  + 1x40mm   3113mm
 32.5Hz  73Hz  122Hz   89.9dB    8l +   3l  + 1x40mm   2775mm
 35.5Hz  78Hz  125Hz   91.4dB    7l +   3l  + 1x40mm   2474mm
 38.8Hz  82Hz  129Hz   93.0dB    6l +   3l  + 1x40mm   2205mm
 42.4Hz  87Hz  132Hz   94.5dB    5l +   3l  + 1x40mm   1965mm
 46.2Hz  93Hz  136Hz   96.0dB    4l +   3l  + 1x40mm   1751mm
 50.4Hz  98Hz  140Hz   97.5dB    4l +   3l  + 1x40mm   1561mm
 54.8Hz 104Hz  145Hz   99.0dB    3l +   3l  + 1x40mm   1391mm
 59.5Hz 110Hz  149Hz  100.4dB    3l +   3l  + 1x40mm   1240mm
 64.6Hz 116Hz  154Hz  101.8dB    2l +   3l  + 1x40mm   1105mm
 70.0Hz 106Hz  160Hz  103.2dB    3l +   3l  + 1x40mm   1340mm
 75.8Hz 109Hz  166Hz  104.6dB    3l +   3l  + 1x40mm   1255mm
 82.0Hz 119Hz  172Hz  106.0dB    2l +   3l  + 1x40mm   1065mm
 76.1Hz 126Hz  178Hz  104.7dB    2l +   3l  + 1x40mm    949mm
 83.1Hz 133Hz  185Hz  106.2dB    2l +   3l  + 1x40mm    846mm
103.1Hz 141Hz  193Hz  110.0dB    2l +   3l  - 1x40mm    754mm
 32.4Hz  79Hz  191Hz   89.8dB    6l +   2l  + 1x40mm   3493mm
 35.7Hz  83Hz  194Hz   91.5dB    5l +   2l  + 1x40mm   3114mm
 39.3Hz  88Hz  198Hz   93.2dB    5l +   2l  + 1x40mm   2776mm
 43.3Hz  93Hz  202Hz   94.9dB    4l +   2l  + 1x40mm   2473mm
 47.5Hz  99Hz  206Hz   96.5dB    3l +   2l  + 1x40mm   2205mm
 52.2Hz 105Hz  210Hz   98.1dB    3l +   2l  + 1x40mm   1965mm
 57.2Hz 111Hz  216Hz   99.7dB    3l +   2l  + 1x40mm   1751mm
 62.6Hz 118Hz  221Hz  101.3dB    2l +   2l  + 1x40mm   1560mm
 68.4Hz 125Hz  227Hz  102.8dB    2l +   2l  + 1x40mm   1391mm
 74.7Hz 132Hz  233Hz  104.4dB    2l +   2l  + 1x40mm   1240mm
 81.5Hz 140Hz  240Hz  105.9dB    2l +   2l  + 1x40mm   1105mm
 88.7Hz 148Hz  247Hz  107.3dB    1l +   2l  + 1x40mm    985mm
 96.5Hz 157Hz  255Hz  108.8dB    1l +   2l  + 1x40mm    878mm
104.8Hz 166Hz  263Hz  110.2dB    1l +   2l  - 1x40mm    782mm
113.8Hz 176Hz  272Hz  111.7dB    1l +   2l  - 1x40mm    697mm
123.3Hz 186Hz  282Hz  113.1dB    1l +   2l  - 1x40mm    621mm
133.5Hz 197Hz  292Hz  114.4dB    1l +   2l  - 1x40mm    554mm
-------------
CA26RE4X(H1316)
