                       fs   mms    cms    cms1   cms2   cms     mms2
CA12RCY(H1152-08)     57.0    6.1  1.30   1.21   1.28   1.24     6.4 
CA15RLY (H1216-08)    44.0    7.7  1.70   1.60   1.70   1.65     8.2 
CA18RNX (H1215-08)    35.0   14.0  1.40   1.31   1.48   1.39    15.8 
CA22RNX               29.0   20.9  0.000  1.34   1.44   1.39    22.4 
CA26RE4X(H1316)       25.0   38.0  1.10   0.981  1.07   1.02    41.3 
CA26RFX(H1305)        29.0   36.0  0.800  0.778  0.837  0.807   38.7 
ER18RNX(H1456-06)     37.0   14.0  1.30   1.27   1.32   1.29    14.6 
L12RCY/P(H1207-08)    50.0    6.8  1.50   1.47   1.49   1.48     6.9 
L16RNX (H1488-04)     37.0   14.7  1.30   1.22   1.26   1.24    15.2 
L16RNX (H1488-08)     39.0   15.3  1.10   1.08   1.09   1.09    15.4 
L18RNX/P(H1224-08)    36.0   13.6  1.40   1.39   1.44   1.41    14.1 
L26RFX/P(H1209)       20.0   53.0  1.20   1.14   1.19   1.17    55.3 
L26RFX/P(H1209)       20.0   53.0  1.20   1.14   1.19   1.17    55.3 
L26RFX/P              20.0   53.0  1.20   1.15   1.19   1.17    55.0 
L26ROY                22.0  111.0  0.500  0.484  0.471  0.478  108.1 
L26RO4Y               24.0  173.0  0.260  0.256  0.254  0.255  171.8 
P21RF/P(H511)         34.0   22.0  1.000  0.941  0.996  0.968   23.3 
T18RE/XFCTV2(H1333)   26.0   14.0  2.70   2.65   2.68   2.66    14.2 
W18GP                 47.7   13.4  0.840  0.840  0.831  0.836   13.2 
W260 Classic          25.0   39.4  1.05   1.08   1.03   1.06    37.4 
