-------------
RLi-8 1x4
            84.1dB           500W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 24.5Hz  51Hz  106Hz  104.2dB    8l +   2l  * 1x40mm   6116mm
 26.9Hz  54Hz  108Hz  105.8dB    7l +   2l  * 1x40mm   5451mm
 29.5Hz  57Hz  111Hz  107.4dB    6l +   2l  * 1x40mm   4858mm
 32.2Hz  61Hz  114Hz  109.0dB    5l +   2l  * 1x40mm   4331mm
 35.2Hz  64Hz  117Hz  110.5dB    4l +   2l  * 1x40mm   3859mm
 38.5Hz  68Hz  120Hz  112.1dB    4l +   2l  * 1x40mm   3440mm
 42.0Hz  72Hz  123Hz  113.6dB    3l +   2l  * 1x40mm   3066mm
 45.7Hz  76Hz  127Hz  115.1dB    3l +   2l  * 1x40mm   2732mm
 49.7Hz  81Hz  131Hz  116.5dB    3l +   2l  * 1x40mm   2435mm
 54.0Hz  86Hz  135Hz  118.0dB    2l +   2l  * 1x40mm   2170mm
 58.6Hz  91Hz  140Hz  119.4dB    2l +   2l  * 1x40mm   1934mm
 63.5Hz  96Hz  145Hz  120.8dB    2l +   2l  * 1x40mm   1724mm
 68.8Hz  99Hz  150Hz  122.2dB    2l +   2l  * 1x40mm   1615mm
 74.4Hz 108Hz  156Hz  123.5dB    1l +   2l  * 1x40mm   1369mm
 80.4Hz 114Hz  162Hz  124.9dB    1l +   2l  * 1x40mm   1220mm
 86.8Hz 121Hz  168Hz  126.2dB    1l +   2l  * 1x40mm   1088mm
 93.6Hz 128Hz  175Hz  127.5dB    1l +   2l  * 1x40mm    969mm
 24.5Hz  59Hz  106Hz  104.2dB    5l +   2l  * 1x40mm   6117mm
 26.9Hz  63Hz  108Hz  105.8dB    5l +   2l  * 1x40mm   5450mm
 29.5Hz  67Hz  111Hz  107.4dB    4l +   2l  * 1x40mm   4858mm
 32.2Hz  71Hz  114Hz  109.0dB    4l +   2l  * 1x40mm   4330mm
 35.2Hz  75Hz  117Hz  110.5dB    3l +   2l  * 1x40mm   3860mm
 38.5Hz  79Hz  120Hz  112.1dB    3l +   2l  * 1x40mm   3439mm
 42.0Hz  84Hz  123Hz  113.6dB    2l +   2l  * 1x40mm   3066mm
 45.7Hz  89Hz  127Hz  115.1dB    2l +   2l  * 1x40mm   2732mm
 49.7Hz  94Hz  131Hz  116.5dB    2l +   2l  * 1x40mm   2435mm
 54.0Hz 100Hz  135Hz  118.0dB    2l +   2l  * 1x40mm   2170mm
 58.6Hz 106Hz  140Hz  119.4dB    1l +   2l  * 1x40mm   1934mm
 63.5Hz  96Hz  145Hz  120.8dB    2l +   2l  * 1x40mm   2347mm
 68.8Hz  99Hz  150Hz  122.2dB    2l +   2l  * 1x40mm   2198mm
 74.4Hz 108Hz  156Hz  123.5dB    1l +   2l  * 1x40mm   1864mm
 69.1Hz 114Hz  162Hz  122.2dB    1l +   2l  * 1x40mm   1661mm
 75.5Hz 121Hz  168Hz  123.8dB    1l +   2l  * 1x40mm   1481mm
 93.6Hz 128Hz  175Hz  127.5dB    1l +   2l  * 1x40mm   1319mm
 29.4Hz  71Hz  173Hz  107.4dB    3l +   1l  * 1x40mm   6116mm
 32.4Hz  76Hz  176Hz  109.1dB    3l +   1l  * 1x40mm   5452mm
 35.7Hz  80Hz  179Hz  110.8dB    3l +   1l  * 1x40mm   4859mm
 39.3Hz  85Hz  183Hz  112.4dB    2l +   1l  * 1x40mm   4330mm
 43.2Hz  90Hz  187Hz  114.1dB    2l +   1l  * 1x40mm   3860mm
 47.4Hz  95Hz  191Hz  115.7dB    2l +   1l  * 1x40mm   3440mm
 51.9Hz 101Hz  196Hz  117.3dB    2l +   1l  * 1x40mm   3065mm
 56.8Hz 107Hz  201Hz  118.8dB    1l +   1l  * 1x40mm   2732mm
 62.1Hz 113Hz  206Hz  120.4dB    1l +   1l  * 1x40mm   2435mm
 67.8Hz 120Hz  212Hz  121.9dB    1l +   1l  * 1x40mm   2170mm
 73.9Hz 127Hz  218Hz  123.4dB    1l +   1l  * 1x40mm   1934mm
 80.5Hz 134Hz  224Hz  124.9dB    1l +   1l  * 1x40mm   1724mm
 87.6Hz 142Hz  231Hz  126.4dB    1l +   1l  * 1x40mm   1536mm
 95.2Hz 151Hz  239Hz  127.8dB    1l +   1l  * 1x40mm   1369mm
103.3Hz 160Hz  247Hz  129.2dB    1l +   1l  * 1x40mm   1220mm
111.9Hz 169Hz  256Hz  130.6dB    1l +   1l  * 1x40mm   1088mm
121.2Hz 179Hz  265Hz  132.0dB    0l +   1l  * 1x40mm    969mm
-------------
RLs-12 1x3
            80.5dB          2000W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
  6.5Hz  14Hz   28Hz   95.8dB  -34l +  57l  * 1x70mm   10913mm
  7.2Hz  14Hz   29Hz   97.4dB  -35l +  57l  * 1x70mm   9727mm
  7.9Hz  15Hz   30Hz   99.0dB  -36l +  57l  * 1x70mm   8669mm
  8.6Hz  16Hz   30Hz  100.6dB  -38l +  57l  * 1x70mm   7728mm
  9.4Hz  17Hz   31Hz  102.1dB  -40l +  57l  * 1x70mm   6886mm
 10.3Hz  18Hz   32Hz  103.7dB  -42l +  57l  * 1x70mm   6137mm
 11.2Hz  19Hz   33Hz  105.2dB  -45l +  57l  * 1x70mm   5470mm
 12.2Hz  20Hz   34Hz  106.6dB  -49l +  57l  * 1x70mm   4876mm
 13.3Hz  22Hz   35Hz  108.1dB  -54l +  57l  * 1x70mm   4345mm
 14.4Hz  23Hz   36Hz  109.5dB  -60l +  57l  * 1x70mm   3873mm
 15.6Hz  24Hz   37Hz  111.0dB  -71l +  57l  * 1x70mm   3452mm
 17.0Hz  26Hz   39Hz  112.4dB  -87l +  57l  * 1x70mm   3076mm
 18.4Hz  26Hz   40Hz  113.7dB -102l +  57l  * 1x70mm   2881mm
 19.9Hz  29Hz   42Hz  115.1dB -197l +  57l  * 1x70mm   2443mm
 21.5Hz  30Hz   43Hz  116.5dB -784l +  57l  * 1x70mm   2177mm
 23.2Hz  32Hz   45Hz  117.8dB  336l +  57l  * 1x70mm   1941mm
 25.0Hz  34Hz   47Hz  119.1dB  129l +  57l  * 1x70mm   1730mm
  6.5Hz  16Hz   28Hz   95.8dB  -37l +  42l  * 1x70mm   10914mm
  7.2Hz  17Hz   29Hz   97.4dB  -39l +  42l  * 1x70mm   9726mm
  7.9Hz  18Hz   30Hz   99.0dB  -41l +  42l  * 1x70mm   8668mm
  8.6Hz  19Hz   30Hz  100.6dB  -44l +  42l  * 1x70mm   7727mm
  9.4Hz  20Hz   31Hz  102.1dB  -47l +  42l  * 1x70mm   6887mm
 10.3Hz  21Hz   32Hz  103.7dB  -52l +  42l  * 1x70mm   6137mm
 11.2Hz  22Hz   33Hz  105.2dB  -58l +  42l  * 1x70mm   5470mm
 12.2Hz  24Hz   34Hz  106.6dB  -67l +  42l  * 1x70mm   4875mm
 13.3Hz  25Hz   35Hz  108.1dB  -81l +  42l  * 1x70mm   4345mm
 14.4Hz  27Hz   36Hz  109.5dB -106l +  42l  * 1x70mm   3873mm
 15.6Hz  28Hz   37Hz  111.0dB -161l +  42l  * 1x70mm   3451mm
 17.0Hz  26Hz   39Hz  112.4dB  -87l +  42l  * 1x70mm   4187mm
 18.4Hz  26Hz   40Hz  113.7dB -102l +  42l  * 1x70mm   3921mm
 19.9Hz  29Hz   42Hz  115.1dB -197l +  42l  * 1x70mm   3326mm
 18.4Hz  30Hz   43Hz  113.8dB -784l +  42l  * 1x70mm   2964mm
 20.1Hz  32Hz   45Hz  115.4dB  336l +  42l  * 1x70mm   2642mm
 25.0Hz  34Hz   47Hz  119.1dB  129l +  42l  * 1x70mm   2354mm
  7.8Hz  19Hz   46Hz   99.0dB  -44l +  29l  * 1x70mm   10913mm
  8.7Hz  20Hz   47Hz  100.7dB  -48l +  29l  * 1x70mm   9729mm
  9.5Hz  21Hz   48Hz  102.4dB  -53l +  29l  * 1x70mm   8671mm
 10.5Hz  23Hz   49Hz  104.0dB  -59l +  29l  * 1x70mm   7727mm
 11.5Hz  24Hz   50Hz  105.6dB  -69l +  29l  * 1x70mm   6887mm
 12.6Hz  25Hz   51Hz  107.3dB  -84l +  29l  * 1x70mm   6137mm
 13.9Hz  27Hz   52Hz  108.9dB -112l +  29l  * 1x70mm   5469mm
 15.2Hz  28Hz   54Hz  110.4dB -178l +  29l  * 1x70mm   4875mm
 16.6Hz  30Hz   55Hz  112.0dB -528l +  29l  * 1x70mm   4345mm
 18.1Hz  32Hz   56Hz  113.5dB  437l +  29l  * 1x70mm   3872mm
 19.7Hz  34Hz   58Hz  115.0dB  143l +  29l  * 1x70mm   3451mm
 21.5Hz  36Hz   60Hz  116.5dB   82l +  29l  * 1x70mm   3076mm
 23.4Hz  38Hz   62Hz  117.9dB   55l +  29l  * 1x70mm   2742mm
 25.4Hz  40Hz   64Hz  119.4dB   40l +  29l  * 1x70mm   2443mm
 27.6Hz  43Hz   66Hz  120.8dB   31l +  29l  * 1x70mm   2178mm
 29.9Hz  45Hz   68Hz  122.2dB   25l +  29l  * 1x70mm   1941mm
 32.3Hz  48Hz   71Hz  123.6dB   20l +  29l  * 1x70mm   1730mm
-------------
RLs-15 1x3
            82.8dB          2000W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
  5.6Hz  12Hz   24Hz   97.9dB -108l + 162l  * 1x70mm   5224mm
  6.2Hz  12Hz   25Hz   99.5dB -112l + 162l  * 1x70mm   4656mm
  6.7Hz  13Hz   25Hz  101.1dB -116l + 162l  * 1x70mm   4149mm
  7.4Hz  14Hz   26Hz  102.7dB -121l + 162l  * 1x70mm   3699mm
  8.1Hz  15Hz   27Hz  104.2dB -128l + 162l  * 1x70mm   3296mm
  8.8Hz  16Hz   27Hz  105.7dB -136l + 162l  * 1x70mm   2938mm
  9.6Hz  16Hz   28Hz  107.3dB -147l + 162l  * 1x70mm   2618mm
 10.5Hz  17Hz   29Hz  108.7dB -161l + 162l  * 1x70mm   2334mm
 11.4Hz  18Hz   30Hz  110.2dB -180l + 162l  * 1x70mm   2080mm
 12.4Hz  20Hz   31Hz  111.6dB -208l + 162l  * 1x70mm   1854mm
 13.4Hz  21Hz   32Hz  113.1dB -253l + 162l  * 1x70mm   1652mm
 14.5Hz  22Hz   33Hz  114.5dB -332l + 162l  * 1x70mm   1472mm
 15.7Hz  23Hz   34Hz  115.8dB -412l + 162l  * 1x70mm   1379mm
 17.0Hz  25Hz   36Hz  117.2dB -1314l + 162l  * 1x70mm   1170mm
 18.4Hz  26Hz   37Hz  118.5dB 1733l + 162l  * 1x70mm   1042mm
 19.9Hz  28Hz   39Hz  119.9dB  482l + 162l  * 1x70mm    929mm
 21.4Hz  29Hz   40Hz  121.2dB  266l + 162l  * 1x70mm    828mm
  5.6Hz  14Hz   24Hz   97.9dB -119l + 119l  * 1x70mm   5224mm
  6.2Hz  14Hz   25Hz   99.5dB -125l + 119l  * 1x70mm   4655mm
  6.7Hz  15Hz   25Hz  101.1dB -133l + 119l  * 1x70mm   4149mm
  7.4Hz  16Hz   26Hz  102.7dB -143l + 119l  * 1x70mm   3699mm
  8.1Hz  17Hz   27Hz  104.2dB -156l + 119l  * 1x70mm   3297mm
  8.8Hz  18Hz   27Hz  105.7dB -173l + 119l  * 1x70mm   2937mm
  9.6Hz  19Hz   28Hz  107.3dB -198l + 119l  * 1x70mm   2618mm
 10.5Hz  20Hz   29Hz  108.7dB -236l + 119l  * 1x70mm   2334mm
 11.4Hz  22Hz   30Hz  110.2dB -300l + 119l  * 1x70mm   2080mm
 12.4Hz  23Hz   31Hz  111.6dB -433l + 119l  * 1x70mm   1854mm
 13.4Hz  24Hz   32Hz  113.1dB -862l + 119l  * 1x70mm   1652mm
 14.5Hz  22Hz   33Hz  114.5dB -332l + 119l  * 1x70mm   2004mm
 15.7Hz  23Hz   34Hz  115.8dB -412l + 119l  * 1x70mm   1877mm
 17.0Hz  25Hz   36Hz  117.2dB -1314l + 119l  * 1x70mm   1592mm
 15.8Hz  26Hz   37Hz  115.9dB 1733l + 119l  * 1x70mm   1419mm
 17.3Hz  28Hz   39Hz  117.4dB  482l + 119l  * 1x70mm   1265mm
 21.4Hz  29Hz   40Hz  121.2dB  266l + 119l  * 1x70mm   1127mm
  6.7Hz  16Hz   40Hz  101.1dB -145l +  83l  * 1x70mm   5224mm
  7.4Hz  17Hz   40Hz  102.8dB -158l +  83l  * 1x70mm   4657mm
