                       fs   mms    cms    cms1   cms2   cms     mms2
135 LB                80.0    3.3  1.000  1.39   1.20   1.29     2.9 
165 LB                64.0    5.5  1.10   1.13   1.12   1.13     5.5 
165 GMF               64.0    5.5  1.000  1.08   1.12   1.10     5.7 
215 RTF 64            60.0    8.5  0.800  0.848  0.828  0.838    8.3 
215 RTF 64 bic        52.0    9.5  0.800  0.795  0.986  0.890   11.8 
215 sig               50.0    8.0  0.800  0.901  1.27   1.08    11.2 
215 sig bic           50.0   10.0  0.800  0.901  1.01   0.957   11.2 
215 GMF               45.0   10.0  1.000  1.10   1.25   1.17    11.4 
285 GMF               47.0   20.0  0.600  0.496  0.573  0.535   23.1 
165-2000              70.0    4.9  1.10   1.08   1.05   1.07     4.8 
215-2000              47.0    7.0  1.000  1.11   1.64   1.37    10.4 
285-2000              45.0   18.5  0.600  0.661  0.676  0.669   18.9 
400-2000              23.0   70.0  0.600  0.451  0.684  0.568  106.1 
165exc 5V             65.0    5.0  1.19   1.21   1.20   1.21     4.9 
165exc 6V             65.0    5.0  1.19   1.24   1.20   1.22     4.9 
165exc 7V             65.0    5.0  1.19   1.24   1.20   1.22     4.8 
165exc 8V             65.0    5.0  1.19   1.25   1.20   1.23     4.8 
165exc 9V             65.0    5.0  1.19   1.25   1.20   1.22     4.8 
165exc 10V            65.0    5.0  1.19   1.25   1.20   1.23     4.8 
215exc 8V             49.0    7.0  1.000  0.426  1.51   0.966   24.8 
215exc 9V             49.0    7.0  1.000  0.425  1.51   0.966   24.8 
215exc 10V            49.0    7.0  1.000  0.427  1.51   0.967   24.7 
215exc 11V            49.0    7.0  1.000  0.412  1.51   0.960   25.6 
215exc 12V            49.0    7.0  1.000  0.420  1.51   0.964   25.1 
215exc 13V            49.0    7.0  1.000  0.421  1.51   0.964   25.1 
285exc 6V             53.0   18.5  0.490  0.509  0.487  0.498   17.7 
285exc 7V             53.0   18.5  0.490  0.522  0.487  0.505   17.3 
285exc 8V             53.0   18.5  0.490  0.509  0.487  0.498   17.7 
285exc 9V             53.0   18.5  0.490  0.516  0.487  0.501   17.5 
285exc 10V            53.0   18.5  0.490  0.509  0.487  0.498   17.7 
285exc 11V            53.0   18.5  0.490  0.512  0.487  0.500   17.6 
285exc 12V            53.0   18.5  0.490  0.509  0.487  0.498   17.7 
400exc 5V             25.0   66.0  0.500  0.435  0.614  0.525   93.1 
400exc 7V             25.0   66.0  0.500  0.445  0.614  0.530   91.0 
400exc 9V             25.0   66.0  0.500  0.441  0.614  0.528   91.8 
400exc 11V            25.0   66.0  0.500  0.434  0.614  0.524   93.3 
400exc 13V            25.0   66.0  0.500  0.439  0.614  0.527   92.3 
400exc 14V            25.0   66.0  0.500  0.440  0.614  0.527   92.1 
400exc 15V            25.0   66.0  0.500  0.430  0.614  0.522   94.2 
                       0.0    0.0  0.000
