                       fs    mms    cms    sag    pct
135 LB                80.0    3.3  1.000  0.032  1.1% OK
165 LB                64.0    5.5  1.10   0.059  2.0% OK
165 GMF               64.0    5.5  1.000  0.054  1.8% OK
215 RTF 64            60.0    8.5  0.800  0.067  3.3% OK
215 RTF 64 bic        52.0    9.5  0.800  0.075  3.7% OK
215 sig               50.0    8.0  0.800  0.063  1.6% OK
215 sig bic           50.0   10.0  0.800  0.078  2.0% OK
215 GMF               45.0   10.0  1.000  0.098  2.0% OK
285 GMF               47.0   20.0  0.600  0.118  2.9% OK
165-2000              70.0    4.9  1.10   0.053  1.1% OK
215-2000              47.0    7.0  1.000  0.069  1.4% OK
285-2000              45.0   18.5  0.600  0.109  2.7% OK
400-2000              23.0   70.0  0.600  0.412  8.2% Not OK
165exc 5V             65.0    5.0  1.19   0.058  1.2% OK
165exc 6V             65.0    5.0  1.19   0.058  1.2% OK
165exc 7V             65.0    5.0  1.19   0.058  1.2% OK
165exc 8V             65.0    5.0  1.19   0.058  1.2% OK
165exc 9V             65.0    5.0  1.19   0.058  1.2% OK
165exc 10V            65.0    5.0  1.19   0.058  1.2% OK
215exc 8V             49.0    7.0  1.000  0.069  1.4% OK
215exc 9V             49.0    7.0  1.000  0.069  1.4% OK
215exc 10V            49.0    7.0  1.000  0.069  1.4% OK
215exc 11V            49.0    7.0  1.000  0.069  1.4% OK
215exc 12V            49.0    7.0  1.000  0.069  1.4% OK
215exc 13V            49.0    7.0  1.000  0.069  1.4% OK
285exc 6V             53.0   18.5  0.490  0.089  2.2% OK
285exc 7V             53.0   18.5  0.490  0.089  2.2% OK
285exc 8V             53.0   18.5  0.490  0.089  2.2% OK
285exc 9V             53.0   18.5  0.490  0.089  2.2% OK
285exc 10V            53.0   18.5  0.490  0.089  2.2% OK
285exc 11V            53.0   18.5  0.490  0.089  2.2% OK
285exc 12V            53.0   18.5  0.490  0.089  2.2% OK
400exc 5V             25.0   66.0  0.500  0.324  6.5% Not OK
400exc 7V             25.0   66.0  0.500  0.324  6.5% Not OK
400exc 9V             25.0   66.0  0.500  0.324  6.5% Not OK
400exc 11V            25.0   66.0  0.500  0.324  6.5% Not OK
400exc 13V            25.0   66.0  0.500  0.324  6.5% Not OK
400exc 14V            25.0   66.0  0.500  0.324  6.5% Not OK
400exc 15V            25.0   66.0  0.500  0.324  6.5% Not OK
