                      fs     mms     qms        rms      rms/sd
215 sig               50.0    8.0    8.000      0.314    0.00119
215 sig bic           50.0   10.0    8.000      0.393    0.00149
215 GMF               45.0   10.0    6.000      0.471    0.00167
285 GMF               47.0   20.0    8.000      0.738    0.00157
215-2000              47.0    7.0    8.000      0.258    0.00091
400-2000              23.0   70.0    9.000      1.124    0.00131
165exc 5V             65.0    5.0    6.000      0.340    0.00206
165exc 6V             65.0    5.0    6.000      0.340    0.00206
165exc 7V             65.0    5.0    6.000      0.340    0.00206
165exc 8V             65.0    5.0    6.000      0.340    0.00206
165exc 9V             65.0    5.0    6.000      0.340    0.00206
165exc 10V            65.0    5.0    6.000      0.340    0.00206
215exc 8V             49.0    7.0    9.000      0.239    0.00085
215exc 9V             49.0    7.0    9.000      0.239    0.00085
215exc 10V            49.0    7.0    9.000      0.239    0.00085
215exc 11V            49.0    7.0    8.000      0.269    0.00095
215exc 12V            49.0    7.0    8.000      0.269    0.00095
215exc 13V            49.0    7.0    9.000      0.239    0.00085
400exc 5V             25.0   66.0   15.000      0.691    0.00081
400exc 7V             25.0   66.0   13.000      0.797    0.00093
400exc 9V             25.0   66.0   12.000      0.864    0.00101
400exc 11V            25.0   66.0   11.000      0.942    0.00110
400exc 13V            25.0   66.0   10.000      1.037    0.00121
400exc 14V            25.0   66.0    9.000      1.152    0.00135
400exc 15V            25.0   66.0    9.000      1.152    0.00135
