                       fs    mms    cms    sag    pct
W2-1625S              90.0    3.0  1.03   0.030  1.5% OK
W2-2040S              75.0    4.6  0.968  0.044  1.1% OK
W3-1750S              65.0    6.0  0.931  0.055  3.1% OK
W3-1876S              55.0   10.0  0.738  0.072  1.4% OK
W3-1878               75.0    2.0  0.218  0.004  0.1% OK
W3-2052S              50.0   12.0  0.615  0.072  1.4% OK
W3-315SC              88.0    2.0  1.15   0.023  4.5% OK
W3-316B              100.0    2.0  1.18   0.023  1.8% OK
W3-532SQF            100.0    2.0  1.06   0.021  4.1% OK
W3-594A              100.0    1.6  1.23   0.019  4.8% OK
W3-871B              110.0    1.7  1.15   0.019  3.8% OK
W3-881SJF            100.0    2.0  1.30   0.026  5.1% Not OK
W3-926SDF            100.0    2.0  1.30   0.025  3.4% OK
W4-1720               60.0    5.0  0.001  0.000  0.0% OK
W4-1757SB             75.0    5.0  0.907  0.044  1.5% OK
W4-1879               55.0    4.0  0.198  0.008  0.2% OK
W4-2142               60.0    4.6  0.139  0.006  0.3% OK
W4-657                68.0    4.7  0.940  0.043  1.3% OK
W5-1138SMF            45.0   28.8  0.369  0.104  1.1% OK
W5-1374SE             50.0   11.5  0.843  0.095  3.2% OK
W5-1685               50.0   11.0  1.02   0.110  1.8% OK
W5-1880               45.0    7.0  0.211  0.014  0.3% OK
W5-2053               35.0   39.9  0.485  0.190  2.4% OK
W5-2106               65.0    5.9  0.960  0.056  1.9% OK
W5-876SA              50.0   17.0  0.001  0.000  0.0% OK
W6-1108SA             47.0   12.8  0.997  0.125  2.3% OK
W6-1139SG             35.0   39.4  0.536  0.207  1.8% OK
W6-1139SH             34.0   34.9  0.596  0.204  1.8% OK
W6-1139SIF            35.0   39.9  0.598  0.234  2.0% OK
W6-1530S              50.0   13.8  0.753  0.102  2.9% OK
W6-1916               60.0    8.1  0.085  0.007  0.1% OK
W6-623C               45.0   13.8  0.858  0.116  2.9% OK
W6-789D               45.0    8.0  1.62   0.127  3.1% OK
W6-789E               50.0    7.0  1.49   0.102  2.4% OK
W69-1042              35.0   46.0  0.524  0.236  3.4% OK
W8-1363SBF            32.0   99.8  0.000  0.000  0.0% OK
W8-740C               28.0   95.0  0.333  0.310  2.6% OK
W8-670Q               27.0   49.0  0.640  0.308  4.4% OK
W8Q-1071              28.0  122.8  0.200  0.241  2.0% OK
W8Q-1071              27.0  134.7  0.234  0.309  5.2% Not OK
