                      fs     mms     qms        rms      rms/sd
W3-1750S              65.0    6.0    5.000      0.490    0.01532
W3-315SC              88.0    2.0    5.000      0.221    0.00691
W3-316B              100.0    2.0    6.000      0.209    0.00654
W4-1720               60.0    5.0    2.000      0.942    0.01653
W5-876SA              50.0   17.0    3.000      1.780    0.01894
W6-789D               45.0    8.0    4.000      0.565    0.00404
W6-789E               50.0    7.0    6.000      0.367    0.00262
W69-1042              35.0   46.0    6.000      1.686    0.00746
W8-740C               28.0   95.0   10.000      1.671    0.00760
W8-670Q               27.0   49.0    3.000      2.771    0.01379
