-------------
10lms4000svc
            81.1dB           800W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
  8.6Hz  18Hz   37Hz   94.4dB 6668l +  31l  * 1x50mm   5837mm
  9.4Hz  19Hz   38Hz   96.0dB  591l +  31l  * 1x50mm   5202mm
 10.4Hz  20Hz   39Hz   97.6dB  292l +  31l  * 1x50mm   4636mm
 11.3Hz  21Hz   40Hz   99.2dB  186l +  31l  * 1x50mm   4133mm
 12.4Hz  23Hz   41Hz  100.7dB  132l +  31l  * 1x50mm   3683mm
 13.5Hz  24Hz   42Hz  102.3dB  100l +  31l  * 1x50mm   3283mm
 14.7Hz  25Hz   43Hz  103.8dB   79l +  31l  * 1x50mm   2926mm
 16.1Hz  27Hz   45Hz  105.3dB   63l +  31l  * 1x50mm   2608mm
 17.5Hz  28Hz   46Hz  106.7dB   52l +  31l  * 1x50mm   2324mm
 19.0Hz  30Hz   48Hz  108.2dB   43l +  31l  * 1x50mm   2071mm
 20.6Hz  32Hz   49Hz  109.6dB   36l +  31l  * 1x50mm   1846mm
 22.3Hz  34Hz   51Hz  111.0dB   31l +  31l  * 1x50mm   1645mm
 24.2Hz  35Hz   53Hz  112.4dB   28l +  31l  * 1x50mm   1541mm
 26.1Hz  38Hz   55Hz  113.7dB   23l +  31l  * 1x50mm   1307mm
 28.3Hz  40Hz   57Hz  115.1dB   20l +  31l  * 1x50mm   1165mm
 30.5Hz  42Hz   59Hz  116.4dB   17l +  31l  * 1x50mm   1038mm
 32.9Hz  45Hz   62Hz  117.7dB   15l +  31l  * 1x50mm    925mm
  8.6Hz  21Hz   37Hz   94.4dB  212l +  23l  * 1x50mm   5837mm
  9.4Hz  22Hz   38Hz   96.0dB  147l +  23l  * 1x50mm   5202mm
 10.4Hz  23Hz   39Hz   97.6dB  109l +  23l  * 1x50mm   4636mm
 11.3Hz  25Hz   40Hz   99.2dB   85l +  23l  * 1x50mm   4133mm
 12.4Hz  26Hz   41Hz  100.7dB   68l +  23l  * 1x50mm   3684mm
 13.5Hz  28Hz   42Hz  102.3dB   55l +  23l  * 1x50mm   3282mm
 14.7Hz  30Hz   43Hz  103.8dB   46l +  23l  * 1x50mm   2926mm
 16.1Hz  31Hz   45Hz  105.3dB   38l +  23l  * 1x50mm   2608mm
 17.5Hz  33Hz   46Hz  106.7dB   33l +  23l  * 1x50mm   2324mm
 19.0Hz  35Hz   48Hz  108.2dB   28l +  23l  * 1x50mm   2071mm
 20.6Hz  37Hz   49Hz  109.6dB   24l +  23l  * 1x50mm   1846mm
 22.3Hz  34Hz   51Hz  111.0dB   31l +  23l  * 1x50mm   2239mm
 24.2Hz  35Hz   53Hz  112.4dB   28l +  23l  * 1x50mm   2097mm
 26.1Hz  38Hz   55Hz  113.7dB   23l +  23l  * 1x50mm   1779mm
 24.3Hz  40Hz   57Hz  112.4dB   20l +  23l  * 1x50mm   1585mm
 26.5Hz  42Hz   59Hz  114.0dB   17l +  23l  * 1x50mm   1413mm
 32.9Hz  45Hz   62Hz  117.7dB   15l +  23l  * 1x50mm   1259mm
 10.3Hz  25Hz   61Hz   97.6dB   81l +  16l  * 1x50mm   5837mm
 11.4Hz  27Hz   62Hz   99.3dB   65l +  16l  * 1x50mm   5203mm
 12.5Hz  28Hz   63Hz  101.0dB   53l +  16l  * 1x50mm   4637mm
 13.8Hz  30Hz   64Hz  102.6dB   44l +  16l  * 1x50mm   4133mm
 15.2Hz  32Hz   66Hz  104.3dB   37l +  16l  * 1x50mm   3683mm
 16.6Hz  33Hz   67Hz  105.9dB   32l +  16l  * 1x50mm   3283mm
 18.2Hz  35Hz   69Hz  107.5dB   27l +  16l  * 1x50mm   2925mm
 20.0Hz  38Hz   70Hz  109.0dB   23l +  16l  * 1x50mm   2607mm
 21.8Hz  40Hz   72Hz  110.6dB   20l +  16l  * 1x50mm   2324mm
 23.8Hz  42Hz   74Hz  112.1dB   17l +  16l  * 1x50mm   2071mm
 26.0Hz  45Hz   76Hz  113.6dB   15l +  16l  * 1x50mm   1846mm
 28.3Hz  47Hz   79Hz  115.1dB   13l +  16l  * 1x50mm   1645mm
 30.8Hz  50Hz   81Hz  116.6dB   12l +  16l  * 1x50mm   1466mm
 33.4Hz  53Hz   84Hz  118.0dB   10l +  16l  * 1x50mm   1307mm
 36.3Hz  56Hz   87Hz  119.4dB    9l +  16l  * 1x50mm   1165mm
 39.3Hz  59Hz   90Hz  120.8dB    8l +  16l  * 1x50mm   1038mm
 42.6Hz  63Hz   93Hz  122.2dB    7l +  16l  * 1x50mm    925mm
-------------
12lms4000svc
            82.6dB           800W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
  8.6Hz  16Hz   30Hz   98.2dB 1935l +  81l  * 1x50mm   2760mm
  9.4Hz  17Hz   31Hz   99.7dB  733l +  81l  * 1x50mm   2459mm
 10.3Hz  18Hz   32Hz  101.3dB  433l +  81l  * 1x50mm   2192mm
 11.2Hz  19Hz   33Hz  102.8dB  296l +  81l  * 1x50mm   1953mm
 12.2Hz  20Hz   34Hz  104.2dB  219l +  81l  * 1x50mm   1741mm
 13.3Hz  22Hz   35Hz  105.7dB  169l +  81l  * 1x50mm   1552mm
 14.5Hz  23Hz   36Hz  107.1dB  135l +  81l  * 1x50mm   1383mm
 15.7Hz  24Hz   38Hz  108.6dB  110l +  81l  * 1x50mm   1233mm
 17.0Hz  26Hz   39Hz  110.0dB   91l +  81l  * 1x50mm   1099mm
 18.4Hz  27Hz   40Hz  111.3dB   82l +  81l  * 1x50mm   1029mm
 19.9Hz  29Hz   42Hz  112.7dB   65l +  81l  * 1x50mm    873mm
 21.5Hz  31Hz   43Hz  114.1dB   55l +  81l  * 1x50mm    778mm
 23.2Hz  32Hz   45Hz  115.4dB   47l +  81l  * 1x50mm    693mm
