-------------
C90-T6-89
            89.2dB           100W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 32.8Hz  68Hz  142Hz   86.3dB    8l +   2l  + 1x40mm   3569mm
 36.0Hz  72Hz  145Hz   87.9dB    6l +   2l  + 1x40mm   3181mm
 39.5Hz  77Hz  149Hz   89.5dB    6l +   2l  + 1x40mm   2835mm
 43.2Hz  81Hz  152Hz   91.0dB    5l +   2l  + 1x40mm   2527mm
 47.2Hz  86Hz  156Hz   92.6dB    4l +   2l  + 1x40mm   2252mm
 51.6Hz  91Hz  161Hz   94.1dB    4l +   2l  + 1x40mm   2007mm
 56.2Hz  96Hz  165Hz   95.6dB    3l +   2l  + 1x40mm   1789mm
 61.3Hz 102Hz  170Hz   97.1dB    3l +   2l  + 1x40mm   1594mm
 66.6Hz 108Hz  176Hz   98.6dB    3l +   2l  + 1x40mm   1421mm
 72.4Hz 115Hz  182Hz  100.0dB    2l +   2l  + 1x40mm   1266mm
 78.5Hz 121Hz  188Hz  101.4dB    2l +   2l  + 1x40mm   1129mm
 32.8Hz  80Hz  142Hz   86.3dB    5l +   2l  + 1x40mm   3569mm
 36.0Hz  84Hz  145Hz   87.9dB    4l +   2l  + 1x40mm   3181mm
 39.5Hz  89Hz  149Hz   89.5dB    4l +   2l  + 1x40mm   2835mm
 43.2Hz  95Hz  152Hz   91.0dB    3l +   2l  + 1x40mm   2527mm
 47.2Hz 100Hz  156Hz   92.6dB    3l +   2l  + 1x40mm   2252mm
 51.6Hz 106Hz  161Hz   94.1dB    3l +   2l  + 1x40mm   2007mm
 56.2Hz 113Hz  165Hz   95.6dB    2l +   2l  + 1x40mm   1789mm
 61.3Hz 119Hz  170Hz   97.1dB    2l +   2l  + 1x40mm   1594mm
 66.6Hz 126Hz  176Hz   98.6dB    2l +   2l  + 1x40mm   1421mm
 72.4Hz 134Hz  182Hz  100.0dB    2l +   2l  + 1x40mm   1266mm
 78.5Hz 142Hz  188Hz  101.4dB    1l +   2l  + 1x40mm   1129mm
 39.4Hz  96Hz  232Hz   89.4dB    3l +   1l  + 1x40mm   3569mm
 43.4Hz 101Hz  236Hz   91.1dB    3l +   1l  + 1x40mm   3182mm
 47.8Hz 107Hz  240Hz   92.8dB    3l +   1l  + 1x40mm   2836mm
 52.6Hz 114Hz  245Hz   94.5dB    2l +   1l  + 1x40mm   2527mm
 57.8Hz 120Hz  250Hz   96.1dB    2l +   1l  + 1x40mm   2252mm
 63.5Hz 127Hz  256Hz   97.7dB    2l +   1l  + 1x40mm   2007mm
 69.6Hz 135Hz  262Hz   99.3dB    2l +   1l  + 1x40mm   1789mm
 76.1Hz 143Hz  269Hz  100.9dB    1l +   1l  + 1x40mm   1594mm
 83.2Hz 152Hz  276Hz  102.4dB    1l +   1l  + 1x40mm   1421mm
-------------
C180 T6-95
            89.1dB           130W       1x70mm
