-------------
LAT250 4/4
            91.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 39.6Hz  64Hz  104Hz   96.7dB  183l +   7l  * 1x40mm   1218mm
 43.0Hz  68Hz  108Hz   98.1dB   46l +   7l  * 1x40mm   1085mm
 46.7Hz  72Hz  112Hz   99.5dB   25l +   7l  * 1x40mm    967mm
 50.6Hz  76Hz  116Hz  100.9dB   17l +   7l  * 1x40mm    862mm
 54.8Hz  79Hz  120Hz  102.3dB   14l +   7l  * 1x40mm    807mm
 59.3Hz  86Hz  124Hz  103.7dB    9l +   7l  * 1x40mm    685mm
 64.0Hz  91Hz  129Hz  105.0dB    7l +   7l  * 1x40mm    610mm
 69.1Hz  96Hz  134Hz  106.4dB    6l +   7l  * 1x40mm    544mm
 74.5Hz 102Hz  139Hz  107.7dB    5l +   7l  - 1x50mm    757mm
 30.7Hz  63Hz   96Hz   92.2dB 1641l +   5l  * 1x40mm   1720mm
 33.4Hz  67Hz   98Hz   93.7dB   61l +   5l  * 1x40mm   1533mm
 36.4Hz  71Hz  101Hz   95.2dB   29l +   5l  * 1x40mm   1366mm
 39.6Hz  75Hz  104Hz   96.7dB   19l +   5l  * 1x40mm   1218mm
 43.0Hz  79Hz  108Hz   98.1dB   13l +   5l  * 1x40mm   1085mm
 46.7Hz  84Hz  112Hz   99.5dB   10l +   5l  * 1x40mm    967mm
 50.6Hz  76Hz  116Hz  100.9dB   17l +   5l  * 1x40mm   1173mm
 54.8Hz  79Hz  120Hz  102.3dB   14l +   5l  * 1x40mm   1099mm
 59.3Hz  86Hz  124Hz  103.7dB    9l +   5l  * 1x40mm    932mm
 55.0Hz  91Hz  129Hz  102.4dB    7l +   5l  * 1x40mm    831mm
 60.1Hz  96Hz  134Hz  103.9dB    6l +   5l  * 1x40mm    740mm
 74.5Hz 102Hz  139Hz  107.7dB    5l +   5l  * 1x40mm    660mm
 28.4Hz  64Hz  143Hz   90.9dB  324l +   4l  * 1x40mm   2430mm
 31.3Hz  68Hz  146Hz   92.6dB   52l +   4l  * 1x40mm   2165mm
 34.4Hz  72Hz  149Hz   94.2dB   27l +   4l  * 1x40mm   1930mm
 37.7Hz  76Hz  152Hz   95.8dB   17l +   4l  * 1x40mm   1720mm
 41.3Hz  80Hz  156Hz   97.4dB   13l +   4l  * 1x40mm   1533mm
 45.3Hz  85Hz  160Hz   99.0dB    9l +   4l  * 1x40mm   1366mm
 49.5Hz  90Hz  164Hz  100.5dB    7l +   4l  * 1x40mm   1218mm
 54.0Hz  95Hz  168Hz  102.1dB    6l +   4l  * 1x40mm   1085mm
 58.9Hz 101Hz  173Hz  103.6dB    5l +   4l  * 1x40mm    967mm
 64.1Hz 107Hz  179Hz  105.1dB    4l +   4l  * 1x40mm    862mm
 69.8Hz 113Hz  184Hz  106.5dB    3l +   4l  * 1x40mm    768mm
 75.8Hz 120Hz  190Hz  108.0dB    3l +   4l  * 1x40mm    685mm
 82.3Hz 127Hz  197Hz  109.4dB    3l +   4l  * 1x40mm    610mm
-------------
LAT500 16/16
            89.0dB           250W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.5Hz  32Hz   67Hz   94.2dB  252l +  24l  * 1x70mm   4566mm
 17.0Hz  34Hz   68Hz   95.8dB  168l +  24l  * 1x70mm   4070mm
 18.6Hz  36Hz   70Hz   97.4dB  122l +  24l  * 1x70mm   3627mm
 20.4Hz  38Hz   72Hz   99.0dB   93l +  24l  * 1x70mm   3233mm
 22.3Hz  41Hz   74Hz  100.5dB   74l +  24l  * 1x70mm   2881mm
 24.3Hz  43Hz   76Hz  102.0dB   60l +  24l  * 1x70mm   2568mm
 26.5Hz  45Hz   78Hz  103.5dB   49l +  24l  * 1x70mm   2289mm
 28.9Hz  48Hz   80Hz  105.0dB   41l +  24l  * 1x70mm   2040mm
 31.4Hz  51Hz   83Hz  106.5dB   35l +  24l  * 1x70mm   1818mm
 34.1Hz  54Hz   86Hz  107.9dB   30l +  24l  * 1x70mm   1620mm
 37.0Hz  57Hz   88Hz  109.3dB   25l +  24l  * 1x70mm   1444mm
 40.1Hz  61Hz   92Hz  110.7dB   22l +  24l  * 1x70mm   1287mm
 43.5Hz  63Hz   95Hz  112.1dB   20l +  24l  * 1x70mm   1205mm
 47.0Hz  68Hz   98Hz  113.5dB   17l +  24l  * 1x70mm   1022mm
 50.8Hz  72Hz  102Hz  114.8dB   14l +  24l  * 1x70mm    911mm
 54.8Hz  76Hz  106Hz  116.2dB   13l +  24l  * 1x70mm    812mm
 59.1Hz  81Hz  111Hz  117.5dB   11l +  24l  * 1x70mm    724mm
 15.5Hz  38Hz   67Hz   94.2dB  101l +  18l  * 1x70mm   4567mm
 17.0Hz  40Hz   68Hz   95.8dB   80l +  18l  * 1x70mm   4069mm
 18.6Hz  42Hz   70Hz   97.4dB   64l +  18l  * 1x70mm   3627mm
 20.4Hz  45Hz   72Hz   99.0dB   53l +  18l  * 1x70mm   3233mm
 22.3Hz  47Hz   74Hz  100.5dB   44l +  18l  * 1x70mm   2882mm
 24.3Hz  50Hz   76Hz  102.0dB   37l +  18l  * 1x70mm   2568mm
