                       fs   mms    cms    cms1   cms2   cms     mms2
9BGS119_8             82.0    2.5  0.000  1.60   1.54   1.57     2.4 
10BGS119_8            81.0    0.0  0.000  1.27   0.000  0.635    3.0 
10BG120_06            95.0    0.0  0.000  0.762  0.000  0.381    3.7 
13WNS128_8            54.0    0.0  0.000  1.22   0.000  0.609    7.1 
17WN225_8             48.0    0.0  0.000  0.932  0.000  0.466   11.8 
17WP232_8             37.0    0.0  0.000  1.39   0.000  0.694   13.3 
18WH09-08             38.0   10.7  0.000  1.72   1.64   1.68    10.2 
18WO09-08             38.0   11.1  0.000  1.67   1.58   1.63    10.5 
21WN340_8             28.0    0.0  0.000  1.39   0.000  0.697   23.2 
26WA550_4             18.0    0.0  0.000  0.490  0.000  0.245  159.6 
PLW_11_125_8          69.0    0.0  0.000  0.915  0.000  0.458    5.8 
PLW_14_232_8          45.0    0.0  0.000  1.60   0.000  0.802    7.8 
PLW_18_225_8          31.0    0.0  0.000  1.92   0.000  0.962   13.7 
PLW_18_WO_09_04       37.0    0.0  0.000  1.01   0.000  0.505   18.3 
