                       fs   mms    cms    cms1   cms2   cms     mms2
V_Al130               43.0    8.5  0.000  1.53   1.61   1.57     9.0 
V_Al130M              57.0    0.0  0.000  1.07   0.000  0.534    7.3 
V_Al170               38.0    0.0  0.000  1.41   0.000  0.705   12.4 
V_Al200               32.0   18.0  0.000  1.21   1.37   1.29    20.4 
V_B200                40.0    0.0  0.000  1.63   0.000  0.816    9.7 
V_BG17               120.0    0.0  0.000  0.294  0.000  0.147    6.0 
V_BG20                38.0    0.0  0.000  1.76   0.000  0.880   10.0 
V_BGS40               40.0   80.0  0.000  0.264  0.198  0.231   60.0 
V_Ti100               62.0    0.0  0.000  1.74   0.000  0.870    3.8 
V_Tiw200xs            26.0    0.0  0.000  1.12   0.000  0.561   33.4 
V_Tiw250xs            31.0    0.0  0.000  0.543  0.000  0.271   48.6 
V_Tiw300              25.0    0.0  0.000  0.451  0.000  0.225   89.9 
V_W100S4              66.0    0.0  0.000  1.44   0.000  0.718    4.1 
V_W100S8              64.0    0.0  0.000  1.44   0.000  0.718    4.3 
V_W130S4              50.0    0.0  0.000  1.76   0.000  0.881    5.8 
V_W130S8              64.0    0.0  0.000  0.646  0.000  0.323    9.6 
V_W170S4              36.0    0.0  0.000  1.67   0.000  0.837   11.7 
V_W170S8              36.0    0.0  0.000  1.67   0.000  0.837   11.7 
V_W200S4              29.0    0.0  0.000  1.04   0.000  0.520   28.9 
V_W200S8              30.0    0.0  0.000  1.12   0.000  0.560   25.1 
V_W250S4              33.0    0.0  0.000  0.827  0.000  0.413   28.1 
V_W250S8              31.0    0.0  0.000  0.741  0.000  0.370   35.6 
V_W300S4              23.0    0.0  0.000  0.856  0.000  0.428   56.0 
V_W300S8              23.0    0.0  0.000  0.970  0.000  0.485   49.4 
V_WS17E4              45.0    0.0  0.000  0.789  0.000  0.394   15.9 
V_WS17E8              45.0    0.0  0.000  0.789  0.000  0.394   15.9 
V_WS20E4              47.0    0.0  0.000  0.496  0.000  0.248   23.1 
V_WS20E8              47.0    0.0  0.000  0.560  0.000  0.280   20.5 
V_WS25E4              41.0    0.0  0.000  0.572  0.000  0.286   26.3 
V_WS25E8              40.0    0.0  0.000  0.606  0.000  0.303   26.1 
