-------------
WF110WA01
            88.5dB            50W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 36.2Hz  75Hz  157Hz   85.4dB   18l +   1l    1x40mm   5119mm
 39.7Hz  80Hz  160Hz   87.0dB   11l +   1l    1x40mm   4563mm
 43.6Hz  85Hz  164Hz   88.6dB    7l +   1l    1x40mm   4066mm
 47.7Hz  90Hz  168Hz   90.2dB    5l +   1l    1x40mm   3625mm
 52.1Hz  95Hz  173Hz   91.8dB    4l +   1l    1x40mm   3230mm
 56.9Hz 100Hz  177Hz   93.3dB    3l +   1l    1x40mm   2879mm
 62.0Hz 106Hz  182Hz   94.8dB    3l +   1l    1x40mm   2566mm
 67.6Hz 113Hz  188Hz   96.3dB    2l +   1l    1x40mm   2287mm
 73.5Hz 119Hz  194Hz   97.7dB    2l +   1l    1x40mm   2038mm
 79.8Hz 126Hz  200Hz   99.2dB    2l +   1l    1x40mm   1817mm
-------------
WF110WA03
            85.5dB            50W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 36.8Hz  71Hz  138Hz   85.7dB  103l +   2l    1x40mm   3837mm
 40.2Hz  76Hz  142Hz   87.3dB   24l +   2l    1x40mm   3421mm
 44.0Hz  80Hz  146Hz   88.8dB   13l +   2l    1x40mm   3048mm
 48.0Hz  85Hz  150Hz   90.3dB    9l +   2l    1x40mm   2717mm
 52.4Hz  90Hz  154Hz   91.8dB    6l +   2l    1x40mm   2422mm
 57.0Hz  95Hz  159Hz   93.3dB    5l +   2l    1x40mm   2158mm
 62.0Hz 101Hz  164Hz   94.8dB    4l +   2l    1x40mm   1923mm
 67.4Hz 107Hz  169Hz   96.2dB    3l +   2l    1x40mm   1714mm
 73.1Hz 113Hz  175Hz   97.6dB    2l +   2l    1x40mm   1528mm
 79.3Hz 120Hz  181Hz   99.0dB    2l +   2l    1x40mm   1362mm
 30.6Hz  74Hz  132Hz   82.5dB   33l +   1l    1x40mm   4831mm
 33.5Hz  79Hz  135Hz   84.1dB   15l +   1l    1x40mm   4305mm
 36.8Hz  83Hz  138Hz   85.7dB   10l +   1l    1x40mm   3837mm
 40.2Hz  88Hz  142Hz   87.3dB    7l +   1l    1x40mm   3421mm
 44.0Hz  93Hz  146Hz   88.8dB    5l +   1l    1x40mm   3049mm
 48.0Hz  99Hz  150Hz   90.3dB    4l +   1l    1x40mm   2717mm
 52.4Hz 105Hz  154Hz   91.8dB    3l +   1l    1x40mm   2422mm
 57.0Hz 111Hz  159Hz   93.3dB    3l +   1l    1x40mm   2158mm
 62.0Hz 118Hz  164Hz   94.8dB    2l +   1l    1x40mm   1924mm
 67.4Hz 125Hz  169Hz   96.2dB    2l +   1l    1x40mm   1714mm
 73.1Hz 132Hz  175Hz   97.6dB    2l +   1l    1x40mm   1528mm
 79.3Hz 120Hz  181Hz   99.0dB    2l +   1l    1x40mm   1854mm
-------------
WF138WA01
            89.5dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 29.8Hz  62Hz  129Hz   86.8dB   95l +   3l  + 1x40mm   2834mm
 32.7Hz  66Hz  132Hz   88.4dB   41l +   3l  + 1x40mm   2525mm
 35.8Hz  69Hz  135Hz   90.0dB   25l +   3l  + 1x40mm   2251mm
 39.2Hz  74Hz  138Hz   91.5dB   17l +   3l  + 1x40mm   2006mm
 42.8Hz  78Hz  142Hz   93.1dB   13l +   3l  + 1x40mm   1788mm
 46.7Hz  83Hz  146Hz   94.6dB   10l +   3l  + 1x40mm   1593mm
 51.0Hz  87Hz  150Hz   96.1dB    8l +   3l  + 1x40mm   1420mm
 55.5Hz  93Hz  154Hz   97.6dB    7l +   3l  + 1x40mm   1266mm
 60.4Hz  98Hz  159Hz   99.1dB    5l +   3l  + 1x40mm   1128mm
 65.6Hz 104Hz  165Hz  100.5dB    5l +   3l  + 1x40mm   1005mm
 71.2Hz 110Hz  170Hz  101.9dB    4l +   3l  + 1x40mm    896mm
 77.2Hz 117Hz  176Hz  103.3dB    3l +   3l  - 1x40mm    799mm
 83.6Hz 120Hz  183Hz  104.7dB    3l +   3l  - 1x40mm    748mm
 29.8Hz  72Hz  129Hz   86.8dB   19l +   3l  + 1x40mm   2834mm
 32.7Hz  76Hz  132Hz   88.4dB   14l +   3l  + 1x40mm   2525mm
 35.8Hz  81Hz  135Hz   90.0dB   11l +   3l  + 1x40mm   2251mm
 39.2Hz  86Hz  138Hz   91.5dB    9l +   3l  + 1x40mm   2006mm
 42.8Hz  91Hz  142Hz   93.1dB    7l +   3l  + 1x40mm   1788mm
 46.7Hz  96Hz  146Hz   94.6dB    6l +   3l  + 1x40mm   1593mm
 51.0Hz 102Hz  150Hz   96.1dB    5l +   3l  + 1x40mm   1420mm
 55.5Hz 108Hz  154Hz   97.6dB    4l +   3l  + 1x40mm   1266mm
 60.4Hz 114Hz  159Hz   99.1dB    3l +   3l  + 1x40mm   1128mm
 65.6Hz 121Hz  165Hz  100.5dB    3l +   3l  + 1x40mm   1005mm
 71.2Hz 128Hz  170Hz  101.9dB    3l +   3l  + 1x40mm    896mm
 77.2Hz 117Hz  176Hz  103.3dB    3l +   3l  + 1x40mm   1087mm
 83.6Hz 120Hz  183Hz  104.7dB    3l +   3l  + 1x40mm   1018mm
 83.9Hz 139Hz  197Hz  104.8dB    2l +   3l  - 1x40mm    770mm
 35.7Hz  87Hz  210Hz   89.9dB    8l +   2l  + 1x40mm   2833mm
 39.4Hz  92Hz  214Hz   91.6dB    7l +   2l  + 1x40mm   2526mm
 43.4Hz  97Hz  218Hz   93.3dB    6l +   2l  + 1x40mm   2251mm
 47.7Hz 103Hz  222Hz   95.0dB    5l +   2l  + 1x40mm   2006mm
 52.4Hz 109Hz  227Hz   96.6dB    4l +   2l  + 1x40mm   1788mm
 57.5Hz 116Hz  232Hz   98.2dB    3l +   2l  + 1x40mm   1593mm
 63.0Hz 122Hz  238Hz   99.8dB    3l +   2l  + 1x40mm   1420mm
