                       fs   mms    cms    cms1   cms2   cms     mms2
WF110WA01             68.0    5.6  0.960  0.969  0.978  0.974    5.7 
WF110WA03             70.0    5.5  0.960  0.969  0.940  0.955    5.3 
WF138WA01             59.0   10.0  0.700  0.780  0.728  0.754    9.3 
WF138WA03             64.0    9.5  0.700  0.772  0.651  0.711    8.0 
WF160WA01             48.0   12.5  0.850  0.956  0.880  0.918   11.5 
SW178WA01             33.0   31.5  0.700  0.726  0.738  0.732   32.0 
SW263WA01             21.5  148.0  0.370  0.387  0.370  0.378  141.7 
SW263WA03             27.0  169.0  0.200  0.204  0.206  0.205  169.9 
SW319WA01             21.5  178.0  0.200  0.145  0.308  0.226  378.3 
SW319WA02             26.0  178.0  0.200  0.213  0.211  0.212  175.8 
