                       fs    mms    cms    sag    pct
WF110WA01             68.0    5.6  0.960  0.053  1.5% OK
WF110WA03             70.0    5.5  0.960  0.052  1.5% OK
WF120BD01             47.0    8.0  1.45   0.114  2.8% OK
WF120BD04             71.0    6.2  1.03   0.063  1.6% OK
WF120CU07             65.0    6.2  0.001  0.000  0.0% OK
WF120CU08             55.0    6.0  0.001  0.000  0.0% OK
WF138WA01             59.0   10.0  0.700  0.069  2.0% OK
WF138WA03             64.0    9.5  0.700  0.065  1.9% OK
WF146WA01             56.0   10.4  0.780  0.080  2.7% OK
WF146WA02             58.0    9.7  0.780  0.074  2.5% OK
WF160WA01             48.0   12.5  0.850  0.104  3.0% OK
WF168WA02             49.0   11.8  0.001  0.000  0.0% OK
WF182BD01             31.0   23.5  1.33   0.307  5.6% Not OK
WF182BD02             32.0   22.0  1.33   0.287  5.2% Not OK
WF182BD09/11          28.0   23.4  1.33   0.305  5.6% Not OK
WF182BD10/12          29.0   21.9  1.33   0.286  5.2% Not OK
SW118WA02             60.0    7.3  0.001  0.000  0.0% OK
SW146WA01             54.0   16.2  0.540  0.086  1.4% OK
SW146WA02             51.0   18.3  0.540  0.097  1.6% OK
SW168WA01             43.0   32.5  0.420  0.134  1.9% OK
SW178WA01             33.0   31.5  0.700  0.216  4.3% OK
SW182BD01             26.0   49.0  0.740  0.356  4.4% OK
SW182BD02             30.0   43.0  0.740  0.312  3.9% OK
SW215WA01             32.0   53.0  0.460  0.239  2.4% OK
SW223BD01             24.0   87.5  0.001  0.000  0.0% OK
SW223BD02             24.0   97.0  0.000  0.000  0.0% OK
SW223BD03             25.0   89.0  0.000  0.000  0.0% OK
SW263WA01             21.0  148.0  0.370  0.537  4.7% OK
SW263WA03             27.0  169.0  0.200  0.332  2.9% OK
SW270WA01             25.0   84.5  0.480  0.398  3.6% OK
SW310WA01             28.0  180.0  0.000  0.000  0.0% OK
SW310WA02             27.0  194.0  0.000  0.000  0.0% OK
SW319WA01             21.0  178.0  0.200  0.349  3.0% OK
SW319WA02             26.0  178.0  0.200  0.349  3.0% OK
