                      fs     mms     qms        rms      rms/sd
WF138WA01             59.0   10.0    7.000      0.530    0.00557
WF146WA01             56.0   10.0    7.000      0.503    0.00529
WF182BD02             32.0   22.0   11.000      0.402    0.00307
SW182BD01             26.0   49.0    8.000      1.001    0.00764
SW182BD02             30.0   43.0    8.000      1.013    0.00773
SW215WA01             32.0   53.0   12.000      0.888    0.00431
SW223BD02             24.0   97.0   10.000      1.463    0.00710
SW223BD03             25.0   89.0   10.000      1.398    0.00679
SW263WA01             21.0  148.0   19.000      1.028    0.00327
SW263WA03             27.0  169.0   12.000      2.389    0.00761
SW310WA01             28.0  180.0   13.000      2.436    0.00475
SW310WA02             27.0  194.0   15.000      2.194    0.00428
SW319WA01             21.0  178.0   18.000      1.305    0.00254
SW319WA02             26.0  178.0   14.000      2.077    0.00405
